level,method,point,state_error_percent,coefficient_error_percent,q_source
lhs12,b3,offgrid2,0.4654790031803021,0.05442094435313132,euclidean_hprom_enrichment_lhs12/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p2_steps500/qN.npy
lhs12,b3,extrapolation20pct,0.8488785281257236,0.09149627257236048,euclidean_hprom_enrichment_lhs12/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p3_steps500/qN.npy
lhs12,case3,verification,0.4079032809300406,0.06873851982745437,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
lhs12,case3,offgrid1,0.4464818989047618,0.08152025762788936,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
lhs12,case3,offgrid2,0.46482410328612267,0.13675926020557594,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
lhs12,case3,extrapolation20pct,0.8552389084836342,0.15023991655777186,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
lhs12,podae,verification,0.41041337816552287,0.28256696470606524,euclidean_hprom_enrichment_lhs12/Runs/HPROM_POD_AE/podae_hprom_mu1_4.875_mu2_0.0225_ntot151_nz10_qN.npy
lhs12,podae,offgrid1,0.4466973604211507,0.26904949770642433,euclidean_hprom_enrichment_lhs12/Runs/HPROM_POD_AE/podae_hprom_mu1_4.560_mu2_0.0190_ntot151_nz10_qN.npy
lhs12,podae,offgrid2,0.4729542802133685,0.3433405652591149,euclidean_hprom_enrichment_lhs12/Runs/HPROM_POD_AE/podae_hprom_mu1_5.190_mu2_0.0260_ntot151_nz10_qN.npy
lhs12,podae,extrapolation20pct,0.8721698844868968,0.31137357361234486,euclidean_hprom_enrichment_lhs12/Runs/HPROM_POD_AE/podae_hprom_mu1_4.000_mu2_0.0330_ntot151_nz10_qN.npy
lhs12,podnn,verification,0.4592840301349467,0.6252623444477912,euclidean_hprom_enrichment_lhs12/Runs/PODNN_ROM/rom_data_driven_mu1_4.875_mu2_0.0225_ntot151/qN.npy
lhs12,podnn,offgrid1,0.5074557379374882,0.669416260888782,euclidean_hprom_enrichment_lhs12/Runs/PODNN_ROM/rom_data_driven_mu1_4.560_mu2_0.0190_ntot151/qN.npy
lhs12,podnn,offgrid2,0.7871342560286966,1.5364576646871524,euclidean_hprom_enrichment_lhs12/Runs/PODNN_ROM/rom_data_driven_mu1_5.190_mu2_0.0260_ntot151/qN.npy
lhs12,podnn,extrapolation20pct,3.2959888983669567,7.5486859111615265,euclidean_hprom_enrichment_lhs12/Runs/PODNN_ROM/rom_data_driven_mu1_4.000_mu2_0.0330_ntot151/qN.npy
lhs12,poddl,verification,0.42491265934879113,0.40714701072388104,euclidean_hprom_enrichment_lhs12/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.875_mu2_0.0225_ntot151_nz10/qN.npy
lhs12,poddl,offgrid1,0.46360852571315686,0.40427062309302947,euclidean_hprom_enrichment_lhs12/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.560_mu2_0.0190_ntot151_nz10/qN.npy
lhs12,poddl,offgrid2,0.49405707752897315,0.4998649428702968,euclidean_hprom_enrichment_lhs12/Runs/PODDL_ROM/pod_dl_data_driven_mu1_5.190_mu2_0.0260_ntot151_nz10/qN.npy
lhs12,poddl,extrapolation20pct,0.863930109097706,0.45968411553527816,euclidean_hprom_enrichment_lhs12/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.000_mu2_0.0330_ntot151_nz10/qN.npy
lhs18,linear,verification,0.4103876436595169,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
lhs18,linear,offgrid1,0.449823818711427,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
lhs18,linear,offgrid2,0.4632381358945413,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
lhs18,linear,extrapolation20pct,0.849888467909238,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.000_mu2_0.0330_ntot151/qN.npy
lhs18,case1,verification,0.4069903087858899,0.11683633224883276,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
lhs18,case1,offgrid1,0.4449825451349027,0.14396908603466566,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
lhs18,case1,offgrid2,0.4632576524639347,0.1226924403190796,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
lhs18,case1,extrapolation20pct,0.8487528534518356,0.20924685493174147,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
lhs18,case2,verification,0.4442763796773096,0.5495911202869224,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
lhs18,case2,offgrid1,0.4865648066360684,0.5622539281223802,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
lhs18,case2,offgrid2,0.533807325928889,0.7099912001227813,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
lhs18,case2,extrapolation20pct,0.8855256739718973,0.626640305163137,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
lhs18,b3,verification,0.4118037418680985,0.03060280704799491,euclidean_hprom_enrichment_lhs18/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p0_steps500/qN.npy
lhs18,b3,offgrid1,0.4522377470171922,0.034617487198210305,euclidean_hprom_enrichment_lhs18/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p1_steps500/qN.npy
lhs18,b3,offgrid2,0.46386573656617475,0.03638351362923024,euclidean_hprom_enrichment_lhs18/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p2_steps500/qN.npy
lhs18,b3,extrapolation20pct,0.8489868484790806,0.04762829614478397,euclidean_hprom_enrichment_lhs18/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p3_steps500/qN.npy
lhs18,case3,verification,0.40835737227223456,0.05942170639653118,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
lhs18,case3,offgrid1,0.44654484560394636,0.07062731419251901,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
lhs18,case3,offgrid2,0.4624350400374711,0.08195498314006588,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
lhs18,case3,extrapolation20pct,0.8528570905603791,0.1296955117373529,euclidean_hprom_enrichment_lhs18/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
lhs18,podae,verification,0.40868569899042695,0.23900092230936165,euclidean_hprom_enrichment_lhs18/Runs/HPROM_POD_AE/podae_hprom_mu1_4.875_mu2_0.0225_ntot151_nz10_qN.npy
lhs18,podae,offgrid1,0.4463646527449014,0.273863703281627,euclidean_hprom_enrichment_lhs18/Runs/HPROM_POD_AE/podae_hprom_mu1_4.560_mu2_0.0190_ntot151_nz10_qN.npy
lhs18,podae,offgrid2,0.468727167192384,0.2570789687774328,euclidean_hprom_enrichment_lhs18/Runs/HPROM_POD_AE/podae_hprom_mu1_5.190_mu2_0.0260_ntot151_nz10_qN.npy
lhs18,podae,extrapolation20pct,0.8717763187745929,0.34827640618580263,euclidean_hprom_enrichment_lhs18/Runs/HPROM_POD_AE/podae_hprom_mu1_4.000_mu2_0.0330_ntot151_nz10_qN.npy
lhs18,podnn,verification,0.445955804546737,0.5485852496730407,euclidean_hprom_enrichment_lhs18/Runs/PODNN_ROM/rom_data_driven_mu1_4.875_mu2_0.0225_ntot151/qN.npy
lhs18,podnn,offgrid1,0.4880311415612619,0.5647213330773674,euclidean_hprom_enrichment_lhs18/Runs/PODNN_ROM/rom_data_driven_mu1_4.560_mu2_0.0190_ntot151/qN.npy
lhs18,podnn,offgrid2,0.5364709432417795,0.7081984631018344,euclidean_hprom_enrichment_lhs18/Runs/PODNN_ROM/rom_data_driven_mu1_5.190_mu2_0.0260_ntot151/qN.npy
lhs18,podnn,extrapolation20pct,0.9817710178363445,1.2042825483281756,euclidean_hprom_enrichment_lhs18/Runs/PODNN_ROM/rom_data_driven_mu1_4.000_mu2_0.0330_ntot151/qN.npy
lhs18,poddl,verification,0.41301076397837216,0.19540111178244582,euclidean_hprom_enrichment_lhs18/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.875_mu2_0.0225_ntot151_nz10/qN.npy
lhs18,poddl,offgrid1,0.4527939850871431,0.19899307781048953,euclidean_hprom_enrichment_lhs18/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.560_mu2_0.0190_ntot151_nz10/qN.npy
lhs18,poddl,offgrid2,0.46884185843764403,0.2038225473434896,euclidean_hprom_enrichment_lhs18/Runs/PODDL_ROM/pod_dl_data_driven_mu1_5.190_mu2_0.0260_ntot151_nz10/qN.npy
lhs18,poddl,extrapolation20pct,0.8578859257229456,0.32583600019566544,euclidean_hprom_enrichment_lhs18/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.000_mu2_0.0330_ntot151_nz10/qN.npy
