mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,GPR (n_s=131),151,20,131,56,36,69.9946911568315,69.99467686602763,100.0000204169867
4.56,0.019,GPR (n_s=131),151,20,131,57,37,72.8129444567625,72.79905206979346,100.01908319761597
4.56,0.019,GPR (n_s=131),151,20,131,58,38,67.47788797246046,67.45129978632069,100.03941834512308
4.56,0.019,GPR (n_s=131),151,20,131,59,39,69.51114228259085,69.51842971275073,99.98951726874444
4.56,0.019,GPR (n_s=131),151,20,131,60,40,64.52495191543893,64.49922125872774,100.03989297267323
4.56,0.019,GPR (n_s=131),151,20,131,61,41,72.71764022194331,72.72548181037921,99.98921755038167
4.56,0.019,GPR (n_s=131),151,20,131,62,42,64.90202526802156,64.90745376226248,99.99163656263455
4.56,0.019,GPR (n_s=131),151,20,131,63,43,60.40412959830354,60.38031151006408,100.03944677932887
4.56,0.019,GPR (n_s=131),151,20,131,64,44,57.15828725162541,57.14428335568313,100.02450620625534
4.56,0.019,GPR (n_s=131),151,20,131,65,45,58.588498113713754,58.59187001623926,99.99424510171023
4.56,0.019,GPR (n_s=131),151,20,131,66,46,57.10323003448643,57.08094315847006,100.03904433736228
4.56,0.019,GPR (n_s=131),151,20,131,67,47,55.05200411978998,55.047099435236674,100.00890997818891
4.56,0.019,GPR (n_s=131),151,20,131,68,48,52.46357557090257,52.47381616463028,99.98048437396743
4.56,0.019,GPR (n_s=131),151,20,131,69,49,53.070934949503986,53.064898970320606,100.01137471153343
4.56,0.019,GPR (n_s=131),151,20,131,70,50,52.36852443673317,52.36574125290374,100.00531489436193
4.56,0.019,GPR (n_s=131),151,20,131,71,51,51.26301416402887,51.25996309204636,100.00595215407593
4.56,0.019,GPR (n_s=131),151,20,131,72,52,49.30127461706895,49.3101238564563,99.98205390963301
4.56,0.019,GPR (n_s=131),151,20,131,73,53,49.84619345350049,49.85744987335465,99.97742279261624
4.56,0.019,GPR (n_s=131),151,20,131,74,54,47.650923058260815,47.61811445363352,100.06889941990299
4.56,0.019,GPR (n_s=131),151,20,131,75,55,49.01971703930427,48.937388024041475,100.16823336632177
4.56,0.019,GPR (n_s=131),151,20,131,76,56,53.25498037871397,53.08534496928324,100.3195522408847
4.56,0.019,GPR (n_s=131),151,20,131,77,57,46.461156642562834,46.45745188454769,100.00797451832777
4.56,0.019,GPR (n_s=131),151,20,131,78,58,44.862641803013965,44.86899341820426,99.98584408807415
4.56,0.019,GPR (n_s=131),151,20,131,79,59,38.08132640381553,38.11450528648976,99.91294945998948
4.56,0.019,GPR (n_s=131),151,20,131,80,60,43.7051129878465,43.71260427504372,99.98286240931772
4.56,0.019,GPR (n_s=131),151,20,131,81,61,42.300239961201044,42.30656740299899,99.98504383081313
4.56,0.019,GPR (n_s=131),151,20,131,82,62,44.126818404868516,44.12734085716196,99.99881603494954
4.56,0.019,GPR (n_s=131),151,20,131,83,63,40.608492953643,40.60859982988302,99.9997368137772
4.56,0.019,GPR (n_s=131),151,20,131,84,64,42.9204189819795,42.919189439208886,100.00286478562778
4.56,0.019,GPR (n_s=131),151,20,131,85,65,38.387270682917176,38.38730811000494,99.99990250140058
4.56,0.019,GPR (n_s=131),151,20,131,86,66,40.94217339004048,40.95189260220432,99.97626675705017
4.56,0.019,GPR (n_s=131),151,20,131,87,67,36.384519511441994,36.38449251974828,100.00007418460956
4.56,0.019,GPR (n_s=131),151,20,131,88,68,36.09893643909677,36.091072681941604,100.02178864902261
4.56,0.019,GPR (n_s=131),151,20,131,89,69,35.037488186737555,35.060728483570244,99.93371416442879
4.56,0.019,GPR (n_s=131),151,20,131,90,70,33.70393793420968,33.69457160661348,100.02779773461894
4.56,0.019,GPR (n_s=131),151,20,131,91,71,35.951305147055805,35.95122068644328,100.00023493113979
4.56,0.019,GPR (n_s=131),151,20,131,92,72,35.3808061158807,35.381411332147955,99.99828945131223
4.56,0.019,GPR (n_s=131),151,20,131,93,73,33.01832981963752,33.01805358305483,100.00083662285542
4.56,0.019,GPR (n_s=131),151,20,131,94,74,34.77999470069457,34.772571776805336,100.02134706612121
4.56,0.019,GPR (n_s=131),151,20,131,95,75,31.437172471579487,31.435906399745146,100.00402747042901
4.56,0.019,GPR (n_s=131),151,20,131,96,76,31.32906935192139,31.33279306754335,99.98811559628938
4.56,0.019,GPR (n_s=131),151,20,131,97,77,27.836621819076594,27.849895084166995,99.95233998171165
4.56,0.019,GPR (n_s=131),151,20,131,98,78,29.927490807946207,29.92972158716103,99.99254660886729
4.56,0.019,GPR (n_s=131),151,20,131,99,79,30.146785820759522,30.1478135489837,99.99659103562351
4.56,0.019,GPR (n_s=131),151,20,131,100,80,31.356812226882646,31.354532392893162,100.00727114651532
