mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,ANN (n_s=141),151,10,141,141,131,10.993536221164986,16.948029538207624,64.86616155808065
4.56,0.019,ANN (n_s=141),151,10,141,142,132,12.474830933087093,15.42511828795791,80.87348635002658
4.56,0.019,ANN (n_s=141),151,10,141,143,133,12.385297479325896,15.901846545412461,77.88590742563129
4.56,0.019,ANN (n_s=141),151,10,141,144,134,10.780115194590662,17.613641478811267,61.203216879137955
4.56,0.019,ANN (n_s=141),151,10,141,145,135,11.098999969500941,16.328543305556316,67.9729952746253
4.56,0.019,ANN (n_s=141),151,10,141,146,136,11.590094351092787,18.108926955065954,64.00210448609971
4.56,0.019,ANN (n_s=141),151,10,141,147,137,12.65091512176976,17.38036016948162,72.78856708610476
4.56,0.019,ANN (n_s=141),151,10,141,148,138,14.12322780451475,23.710264835378347,59.56587959929206
4.56,0.019,ANN (n_s=141),151,10,141,149,139,10.28295806022122,14.51822323832296,70.82793735446813
4.56,0.019,ANN (n_s=141),151,10,141,150,140,12.492299256738871,16.575135688990034,75.36770432013313
4.56,0.019,ANN (n_s=141),151,10,141,151,141,13.767888302269979,20.232553259908276,68.0481999746007
4.56,0.019,ANN (n_s=151),151,0,151,1,1,80.71876693534654,6216.832778314467,1.2983905119164447
4.56,0.019,ANN (n_s=151),151,0,151,2,2,57.6679420029048,2828.8013958133733,2.038599885034466
4.56,0.019,ANN (n_s=151),151,0,151,3,3,25.90796844679511,2199.4593194423887,1.1779244206873238
4.56,0.019,ANN (n_s=151),151,0,151,4,4,41.89489558825465,1578.319598818821,2.6543987427899802
4.56,0.019,ANN (n_s=151),151,0,151,5,5,35.57591037187399,1423.3108371171943,2.499517986101352
4.56,0.019,ANN (n_s=151),151,0,151,6,6,44.522340778943516,1129.5147825159975,3.9417227174105567
4.56,0.019,ANN (n_s=151),151,0,151,7,7,31.560877741135233,1099.8310838942825,2.869611361536033
4.56,0.019,ANN (n_s=151),151,0,151,8,8,26.919245541304353,1007.3659612332015,2.6722409310267183
4.56,0.019,ANN (n_s=151),151,0,151,9,9,22.0429012292174,845.5183497907682,2.6070281306930987
4.56,0.019,ANN (n_s=151),151,0,151,10,10,30.819739050872997,766.3098839623528,4.02183760067319
4.56,0.019,ANN (n_s=151),151,0,151,11,11,19.734154218956615,651.6938510107866,3.0281326405563984
4.56,0.019,ANN (n_s=151),151,0,151,12,12,20.099021859621445,589.107343234116,3.4117758147913513
4.56,0.019,ANN (n_s=151),151,0,151,13,13,28.02578200742508,517.4791495039825,5.415828257870589
4.56,0.019,ANN (n_s=151),151,0,151,14,14,30.97584532870975,469.151731222723,6.602521799925835
4.56,0.019,ANN (n_s=151),151,0,151,15,15,21.34231250840066,429.2145841940655,4.972410839318295
4.56,0.019,ANN (n_s=151),151,0,151,16,16,20.98515716673963,390.7320219814855,5.370728782432373
4.56,0.019,ANN (n_s=151),151,0,151,17,17,28.149645086104062,371.30642379595724,7.581243760429267
4.56,0.019,ANN (n_s=151),151,0,151,18,18,30.13121123705464,337.1564944176357,8.936862180009237
4.56,0.019,ANN (n_s=151),151,0,151,19,19,24.724382824008707,325.7340343414989,7.590359071317588
4.56,0.019,ANN (n_s=151),151,0,151,20,20,19.828608185198483,295.249986416062,6.715870989831749
4.56,0.019,ANN (n_s=151),151,0,151,21,21,24.26829752535841,285.15477504054377,8.510570276057242
4.56,0.019,ANN (n_s=151),151,0,151,22,22,21.484705002796765,261.07002235009236,8.229479895622019
4.56,0.019,ANN (n_s=151),151,0,151,23,23,18.770779698896707,248.7434360698395,7.546241217648231
4.56,0.019,ANN (n_s=151),151,0,151,24,24,23.55438715273513,232.03534030870765,10.151206760744971
4.56,0.019,ANN (n_s=151),151,0,151,25,25,19.411558211289012,217.23156713702488,8.935882784956677
4.56,0.019,ANN (n_s=151),151,0,151,26,26,22.035358421752058,206.57590628041444,10.666954737616097
4.56,0.019,ANN (n_s=151),151,0,151,27,27,27.569570686123743,191.8455867395503,14.370708836556252
4.56,0.019,ANN (n_s=151),151,0,151,28,28,24.358306509102956,183.51579708141912,13.27313882319138
4.56,0.019,ANN (n_s=151),151,0,151,29,29,20.982100816358994,167.8838396102995,12.497987218462308
4.56,0.019,ANN (n_s=151),151,0,151,30,30,23.476894802536926,154.7634027050166,15.169539046181704
4.56,0.019,ANN (n_s=151),151,0,151,31,31,22.86831788833049,146.08320317664348,15.654310277327484
4.56,0.019,ANN (n_s=151),151,0,151,32,32,17.485567538513255,152.31775516987844,11.479664677969932
4.56,0.019,ANN (n_s=151),151,0,151,33,33,17.95885964486,143.05535235874785,12.553783796794663
4.56,0.019,ANN (n_s=151),151,0,151,34,34,16.816743132061436,124.87878019552873,13.466453712736984
4.56,0.019,ANN (n_s=151),151,0,151,35,35,19.387927274522333,122.6115262171799,15.8124834366557
4.56,0.019,ANN (n_s=151),151,0,151,36,36,22.080940108533007,104.02278528336822,21.227022568548197
4.56,0.019,ANN (n_s=151),151,0,151,37,37,20.13180272713114,106.84262675505808,18.842482011682733
4.56,0.019,ANN (n_s=151),151,0,151,38,38,20.404911665803287,122.19439223863257,16.698730025150972
4.56,0.019,ANN (n_s=151),151,0,151,39,39,15.360288032268876,110.77826605297325,13.865795683174635
4.56,0.019,ANN (n_s=151),151,0,151,40,40,25.717941516658417,106.27015411982703,24.200530929558678
4.56,0.019,ANN (n_s=151),151,0,151,41,41,19.067922764768642,107.5519443432549,17.7290358451474
4.56,0.019,ANN (n_s=151),151,0,151,42,42,19.980733754527364,106.12795411190513,18.827022457682506
4.56,0.019,ANN (n_s=151),151,0,151,43,43,26.304853995766674,92.1181977931698,28.555545620668966
4.56,0.019,ANN (n_s=151),151,0,151,44,44,20.144759506577717,99.73656689753918,20.19796763936413
4.56,0.019,ANN (n_s=151),151,0,151,45,45,23.629109260701412,94.70390580674804,24.95051187109301
4.56,0.019,ANN (n_s=151),151,0,151,46,46,22.347273357934792,86.97475950670842,25.693975452971653
4.56,0.019,ANN (n_s=151),151,0,151,47,47,20.13604177059075,86.82296561844338,23.192068627420106
4.56,0.019,ANN (n_s=151),151,0,151,48,48,18.46116880946078,85.78800427195256,21.519522415905477
4.56,0.019,ANN (n_s=151),151,0,151,49,49,16.62352689032973,82.6164074553664,20.12133836648684
4.56,0.019,ANN (n_s=151),151,0,151,50,50,15.458900955673094,76.44357202821938,20.222630295149465
4.56,0.019,ANN (n_s=151),151,0,151,51,51,26.282167110030052,80.0419801270798,32.8354784180786
4.56,0.019,ANN (n_s=151),151,0,151,52,52,24.13088394078744,72.95290337468802,33.07734555381654
4.56,0.019,ANN (n_s=151),151,0,151,53,53,21.43624721463789,76.78509512378666,27.917198227182144
4.56,0.019,ANN (n_s=151),151,0,151,54,54,21.746689077997168,71.9428553152084,30.22772585646877
4.56,0.019,ANN (n_s=151),151,0,151,55,55,19.761826339161406,72.70191755692801,27.181987770387543
4.56,0.019,ANN (n_s=151),151,0,151,56,56,21.400119906154274,69.99467686602763,30.573924853049732
4.56,0.019,ANN (n_s=151),151,0,151,57,57,25.562852446805014,72.79905206979346,35.114265529580734
4.56,0.019,ANN (n_s=151),151,0,151,58,58,21.205823236247795,67.45129978632069,31.438716975693325
4.56,0.019,ANN (n_s=151),151,0,151,59,59,25.932549501611476,69.51842971275073,37.30312898142901
4.56,0.019,ANN (n_s=151),151,0,151,60,60,18.08760118551056,64.49922125872774,28.043131114645867
4.56,0.019,ANN (n_s=151),151,0,151,61,61,36.589328306191106,72.72548181037921,50.311565348707205
4.56,0.019,ANN (n_s=151),151,0,151,62,62,27.067499282496176,64.90745376226248,41.70168095275577
4.56,0.019,ANN (n_s=151),151,0,151,63,63,18.915687812906032,60.38031151006408,31.327575727649567
4.56,0.019,ANN (n_s=151),151,0,151,64,64,22.669631969266828,57.14428335568313,39.670865812008266
