mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,ANN ns151,151,0,151,122,122,18.23019747537255,21.37762836234466,85.27698754219102
4.56,0.019,ANN ns151,151,0,151,123,123,16.59154308043473,15.722715118468155,105.52594100586376
4.56,0.019,ANN ns151,151,0,151,124,124,21.16936063092509,18.69280617185489,113.24870346539548
4.56,0.019,ANN ns151,151,0,151,125,125,18.39872183507748,21.903760762898887,83.99800396944471
4.56,0.019,ANN ns151,151,0,151,126,126,14.265594790205872,18.909949214485394,75.43962507989258
4.56,0.019,ANN ns151,151,0,151,127,127,15.528475812050713,17.615384112532222,88.15292197348789
4.56,0.019,ANN ns151,151,0,151,128,128,20.026835715920765,19.60508863150677,102.15121233237485
4.56,0.019,ANN ns151,151,0,151,129,129,15.57137961829118,17.859552316526198,87.1879616147059
4.56,0.019,ANN ns151,151,0,151,130,130,19.00652939505008,19.466229585289682,97.63847339709282
4.56,0.019,ANN ns151,151,0,151,131,131,15.676555297052433,17.57946171176351,89.17539998714679
4.56,0.019,ANN ns151,151,0,151,132,132,13.917414666049082,15.257611947355771,91.21620548529579
4.56,0.019,ANN ns151,151,0,151,133,133,12.956023328869437,16.75457928903099,77.32825220715378
4.56,0.019,ANN ns151,151,0,151,134,134,16.10873126796571,16.78426546334784,95.97519357128074
4.56,0.019,ANN ns151,151,0,151,135,135,15.460510759605036,17.11457030572802,90.33537204513168
4.56,0.019,ANN ns151,151,0,151,136,136,15.448513344824898,17.035204645083283,90.6858101601008
4.56,0.019,ANN ns151,151,0,151,137,137,15.89351893691085,17.9197516359933,88.69274117051603
4.56,0.019,ANN ns151,151,0,151,138,138,14.941099637945323,16.235626633855883,92.02662745883114
4.56,0.019,ANN ns151,151,0,151,139,139,16.586409204849016,17.22903728809098,96.27008710645626
4.56,0.019,ANN ns151,151,0,151,140,140,12.76803369651212,15.824668453549034,80.68436778938396
4.56,0.019,ANN ns151,151,0,151,141,141,17.246927724354357,16.948029538207624,101.76361615061442
4.56,0.019,ANN ns151,151,0,151,142,142,18.31606389295644,15.42511828795791,118.74180509367916
4.56,0.019,ANN ns151,151,0,151,143,143,14.375280837293243,15.901846545412461,90.4000726974716
4.56,0.019,ANN ns151,151,0,151,144,144,13.194355861076206,17.613641478811267,74.90986958573363
4.56,0.019,ANN ns151,151,0,151,145,145,14.83333497096547,16.328543305556316,90.84297780511717
4.56,0.019,ANN ns151,151,0,151,146,146,18.176421733249615,18.108926955065954,100.3727155029734
4.56,0.019,ANN ns151,151,0,151,147,147,14.62937382087122,17.38036016948162,84.17186800627475
4.56,0.019,ANN ns151,151,0,151,148,148,22.1953908907563,23.710264835378347,93.61089403623325
4.56,0.019,ANN ns151,151,0,151,149,149,14.963453877022792,14.51822323832296,103.0667019744164
4.56,0.019,ANN ns151,151,0,151,150,150,14.706326031019541,16.575135688990034,88.7252225680913
4.56,0.019,ANN ns151,151,0,151,151,151,15.3026083115467,20.232553259908276,75.63359955102412
4.56,0.019,GPR ns151,151,0,151,1,1,6250.753648115123,6216.832778314467,100.54562943881938
4.56,0.019,GPR ns151,151,0,151,2,2,2830.147170257725,2828.8013958133733,100.04757401655498
4.56,0.019,GPR ns151,151,0,151,3,3,2233.0354265107662,2199.4593194423887,101.5265618587067
4.56,0.019,GPR ns151,151,0,151,4,4,1600.2464486839795,1578.319598818821,101.38925284090547
4.56,0.019,GPR ns151,151,0,151,5,5,1472.933447571886,1423.3108371171943,103.486421178047
4.56,0.019,GPR ns151,151,0,151,6,6,1138.5709050456767,1129.5147825159975,100.80177104982253
4.56,0.019,GPR ns151,151,0,151,7,7,1105.9863331762538,1099.8310838942825,100.55965405707363
4.56,0.019,GPR ns151,151,0,151,8,8,1006.5610139126227,1007.3659612332015,99.9200938535194
4.56,0.019,GPR ns151,151,0,151,9,9,847.1318273773941,845.5183497907682,100.19082703373914
