point,mu1,mu2,n_primary,n_tot,requested_secondary_error_percent,actual_secondary_error_percent,ann_secondary_error_percent,state_error_percent_vs_hdm,state_error_percent_vs_linear_hprom,primary_q_error_percent_vs_linear_hprom,total_q_error_percent_vs_linear_hprom,n_time_used,online_solve_elapsed_s,num_iterations,jac_time_s,res_time_s,ls_time_s
offgrid2,5.19,0.026,10,151,21.739811780908,21.739811780908003,21.73981178090827,2.8951134249688195,2.846202739387181,4.865261382087024,6.537772212897649,501,3.13127064704895,1500,1.0914068222045898,0.3360612392425537,0.2216484546661377
offgrid2,5.19,0.026,10,151,30.0,30.000000000000004,21.73981178090827,3.912427702541747,3.8746389613379453,6.544823922221919,8.902122554533282,501,3.159240245819092,1500,1.0958890914916992,0.33454108238220215,0.22103261947631836
offgrid2,5.19,0.026,10,151,3.0,2.9999999999999996,21.73981178090827,0.6076009236898116,0.3772044766472212,0.6211117550694099,0.867017166509882,501,3.092911958694458,1500,1.0964133739471436,0.3312065601348877,0.21662187576293945
offgrid2,5.19,0.026,10,151,50.0,50.0,21.73981178090827,6.246604045573727,6.222521637272383,10.14007134970677,14.305772394480176,501,3.172208786010742,1494,1.0943050384521484,0.3355369567871094,0.22487401962280273
offgrid2,5.19,0.026,10,151,5.0,5.000000000000002,21.73981178090827,0.808030160858709,0.6471057809333812,1.095036014167407,1.4866690796294841,501,3.141864538192749,1500,1.0896036624908447,0.32953500747680664,0.21631932258605957
verification,4.875,0.0225,10,151,0.0,0.0,4.353174300794261,0.45212960552472903,0.21613234757729768,0.5154527216428761,0.5037243929726989,501,3.0434324741363525,1500,1.093205213546753,0.32851696014404297,0.21532535552978516
verification,4.875,0.0225,10,151,10.0,10.000000000000002,4.353174300794261,0.8954392193384435,0.8623677474864491,0.6003884795152817,2.2007198023621712,501,2.9806532859802246,1499,1.0486609935760498,0.3145012855529785,0.20600223541259766
verification,4.875,0.0225,10,151,15.0,15.0,4.353174300794261,1.40185302463531,1.4124082132360487,1.6244421223203636,3.5556519259826698,501,3.0010805130004883,1496,1.0683610439300537,0.3258943557739258,0.21259737014770508
verification,4.875,0.0225,10,151,1.0,1.0,4.353174300794261,0.42419834378679167,0.1662026018264736,0.34413462435625275,0.39760510043335945,501,3.0986320972442627,1500,1.0922868251800537,0.33051276206970215,0.21528029441833496
verification,4.875,0.0225,10,151,20.0,20.000000000000007,4.353174300794261,2.1679332482027753,2.2003880248975,3.4718859168436875,5.432068316492024,501,2.9431004524230957,1495,1.0361104011535645,0.3111562728881836,0.20111656188964844
verification,4.875,0.0225,10,151,30.0,30.0,4.353174300794261,4.600120460970865,4.646636724885447,9.377585401693215,11.15674974724369,501,2.9373881816864014,1490,1.0522723197937012,0.3167738914489746,0.20852017402648926
verification,4.875,0.0225,10,151,3.0,3.0000000000000004,4.353174300794261,0.4512267083474887,0.25510667907361184,0.14815640676083955,0.6525836732296578,501,3.096278190612793,1500,1.086805820465088,0.32932019233703613,0.2166578769683838
verification,4.875,0.0225,10,151,4.353174300794,4.3531743007940005,4.353174300794261,0.5115951295562587,0.36720467190278644,0.18370847373044402,0.9406280887515531,501,3.0859835147857666,1500,1.1465227603912354,0.32830047607421875,0.2153019905090332
verification,4.875,0.0225,10,151,50.0,50.0,4.353174300794261,12.34536995009657,12.392641831305964,27.86520280076837,29.223445328039947,501,3.0499844551086426,1481,1.0602977275848389,0.3235781192779541,0.21215152740478516
verification,4.875,0.0225,10,151,5.0,5.000000000000002,4.353174300794261,0.5471081861397182,0.4226825154079621,0.22116814699129234,1.0823327998417354,501,3.069855213165283,1500,1.0942914485931396,0.33565568923950195,0.2207338809967041
